Дата,Товар,Количество,Цена за единицу,Сумма,Рейтинг,Комментарий
2025-04-01,Круассан,20,120.0,2400.0,5.0,Нормально
2025-04-01,Хлеб ржаной,10,80.0,800.0,4.7,Шедевр!
2025-04-01,Булочка с корицей,14,90.0,1260.0,5.0,Хорошее тесто
2025-04-01,Пирожок с мясом,15,110.0,1650.0,4.4,Хороший хлеб
2025-04-01,Эклер,19,130.0,2470.0,4.9,Тают во рту
2025-04-01,Чизкейк,17,250.0,4250.0,5.0,Чуть пересушен
2025-04-01,Маффин,18,100.0,1800.0,4.8,Всегда беру
2025-04-02,Круассан,17,121.2,2060.4,4.9,Чуть пересушен
2025-04-02,Хлеб ржаной,12,80.8,969.6,4.8,Нормально
2025-04-02,Булочка с корицей,18,90.9,1636.2,4.9,Шедевр!
2025-04-02,Пирожок с мясом,12,111.1,1333.2,4.7,Сытный
2025-04-02,Эклер,17,131.3,2232.1,4.9,Обожаю!
2025-04-02,Чизкейк,16,252.5,4040.0,5.0,Восхитительно
2025-04-02,Маффин,17,101.0,1717.0,4.6,Лучший чизкейк
2025-04-03,Круассан,18,122.4,2203.2,4.9,Отличный крем
2025-04-03,Хлеб ржаной,14,81.6,1142.4,4.6,Хороший хлеб
2025-04-03,Булочка с корицей,16,91.8,1468.8,4.8,Сочно и свежо
2025-04-03,Пирожок с мясом,14,112.2,1570.8,4.6,Идеально к кофе
2025-04-03,Эклер,19,132.6,2519.4,5.0,Сытный
2025-04-03,Чизкейк,13,255.0,3315.0,5.0,Восхитительно
2025-04-03,Маффин,16,102.0,1632.0,4.6,Просто супер!
2025-04-04,Круассан,16,123.6,1977.6,5.0,Отличный крем
2025-04-04,Хлеб ржаной,9,82.4,741.6,4.9,Нормально
2025-04-04,Булочка с корицей,17,92.7,1575.9,4.9,Сытный
2025-04-04,Пирожок с мясом,15,113.3,1699.5,5.0,Сытный
2025-04-04,Эклер,18,133.9,2410.2,4.8,Очень вкусно
2025-04-04,Чизкейк,16,257.5,4120.0,4.7,Сытный
2025-04-04,Маффин,18,103.0,1854.0,4.7,Просто супер!
2025-04-05,Круассан,27,124.8,3369.6,5.0,Чуть пересушен
2025-04-05,Хлеб ржаной,16,83.2,1331.2,4.7,Шедевр!
2025-04-05,Булочка с корицей,22,93.6,2059.2,4.9,Сочно и свежо
2025-04-05,Пирожок с мясом,16,114.4,1830.4,5.0,Всегда беру
2025-04-05,Эклер,21,135.2,2839.2,5.0,Восхитительно
2025-04-05,Чизкейк,20,260.0,5200.0,4.8,Очень вкусно
